abhor	 …'を'ひどくきらう,嫌悪する 
amuck	アモク 《急に興奮して殺人を犯す精神障害; 元来マレー人特有のものとされた》/殺気立って[た]; 怒り狂って[た].
amuse	 (…で)〈人,自分自身〉'を'『楽しませる』,おかしがらせる《+『名』+『with』+『名』/+『名』+『by』 do『ing』》 
angel	 『天使』 / (美しさ・親切さなどで)天使のような人 / 守護神,守り神 
anger	 『怒り』,立腹 / …'を'おこらせる(make angry) / おこる(become angry) 
angle	 『かど』,すみ(corner) / 『角』,角度 / 《話》(ものを見る)角度,観点(point of view) / …'を'ある角度に動かす(向ける,曲げる) / …'を'ある角度から見る 
angry	 『おこった』,腹を立てた / (海・波・風などが)おこったような,激しい / (傷が)炎症を起こした 
angst	 (ばく然とした)不安 
anile	 老婆の[ような];もうろくした 
anise	 アニス(地中海沿岸産のセリ科の草;実は香味料) 
ankle	 『足首』,くるぶし 
anode	 (電気の)陽極(positive pole) 
antic	 おどけたしぐさ,異様な行動 / 《文》おどけた,奇妙な
anvil	 (かじ屋が使う)金敷き,金床 / (耳の)きぬた骨
aphid	 アブラムシ(草木の害虫)(plant louse) 
aphis	 =aphid 
apish	 (特に行動が)サルのような,馬鹿なことをする 
apron	 『エプロン』,前掛け / (また『apron stage』)張り出し舞台 / エプロン(飛行機の乗降・荷積み・給油などをする所) 
aptly	 適切に 
argon	 アルゴン(気体元素;化学記号は『Ar』) 
argot	 (ある仲間の間で使われる,特に盗人の)隠語 
argue	 (人と…について)『議論する』,論争する,言い争う《+『with』+『名』〈人〉+『about』(『on, over』)+『名』》 / (…に賛成・反対して)論じる,主張する《+『for』(『in favor of, against』)+『名』》 / …'を'『議論する』,論じる / (…するように)〈人〉'を'『説得する』,説き伏せる《+『名』〈人〉+『into』+『名』(do『ing』)》,(…しないように)〈人〉'を'説得する《+『名』〈人〉+『out of』+『名』》 / 〈物事が〉…'を'示す,表す(show) 
arise	 〈問題・事件などが〉『起こる』,現れる / (…から)生じる(result)《+『from』+『名』》 / 《古・詩》起き上がる,立ち上がる / 《英ではまれ》〈霧・煙などが〉立ちのぼる,湧きあがる
arith	 arithmetic / arithmetical
armed	 武装した / (ある目的のために)用意した
arose	 ariseの過去形 
arson	 放火,放火罪 
ascot	 アスコットタイ,アスコットスカーフ(副の広い男性用のスカーフ・ネクタイ) 
ashen	 灰の / 灰色の;青白い
aside	 『わきに(へ)』;ある位置・方向から)それて;(…から)少し離れて《+『from』+『名』》 / 別にしておいて,しまっておいて / 忘れて,考慮しないで / (演劇の)傍白,わきぜりふ / ひとり言 / わき道にそれた発言
askew	 斜めに;曲がって,ゆがんで / 曲がって,ゆがんで
aspen	 ハコヤナギ,ポプラ 
aspic	 アスピック(肉・魚・野菜の煮汁から作るゼリー) 
aster	 アスター,エゾギク(庭に植えるキク科の一年草) 
astir	 (…に)わきたって,ざわめいて《+『at』+『名』》;(…で)にぎわって《+『with』+『名』》 / (ベッドから)起きて
atone	 (罪・あやまちなどを)償う,あがなう,埋合せをする《+『for』+『名』》 
atony	 (生体の組織の)無力[症],弛緩(しかん) 
audio	 (電波の)可聴周波の,低周波の;(テレビの)音声の / (テレビの)音声[部門]
audit	 会計検査(監査) / 決算報告[書] / …‘の'会計検査(監査)をする / 《米》(大学の講義)'を'聴講する / 会計検査(監査)をする 
auger	 らせん形のきり(大工用でT字型の柄がついている) 
aught	《古・詩》 何か, 何でも; あらゆること/少しも, どの程度にもせよ/零, ゼロ; 《古》 無
auxin	 オーキシン(植物の成長を調整するホルモン) 
avert	 〈事故など〉'を'避ける,防ぐ / (…から)〈目など〉'を'そらす,そむける《+『名』+『from』+『名』》
avoid	 〈危険・いやなもの〉'を'『避ける』,回避する(keep away from) / (法律上)〈抗弁など〉'を'無効にする
awful	 (光景・事故などが)『恐ろしい』,すさまじい / 《話》(行為が)『ひどい』,見苦しい / 《話》(程度が)大きい,すごい(great) / 《俗》ひどく,すごく(very, extremely)
awoke	 awakeの過去・過去分詞 
axiom	 自明の理,原理;(数学の)公理;格言 
azure	 空色の;青空の(sky-blue) / 空色;《詩》青空,天空(sky)
bacon	 『ベーコン』 
badge	 『記章』,バッジ / 印
badly	 『悪く』,まずく,へたに / 『大いに』,『ひどく』,非常に
bagel	 ドーナツ型堅ロールパン 
bairn	 《スコットランド・北英》子供;むすこ,娘 
baize	 ベーズ(玉突き台などに張る緑色の柔らかい毛織地) 
baker	 『パン屋』,パン焼き職人 
balky	 (馬が)急に止まる癖のある 
balmy	 おだやかな,さわやかな / 芳香のある,かぐわしい / 心の慰めとなる / 《米俗》少し気が変な(《英》barmy)
bandy	 〈ボールなど〉'を'投げ合う,打ち合う / 〈言葉・殴打など〉'を'交わす / =bandy-legged 
banjo	 バンジョー(4弦または5弦の楽器) 
barge	 (運河などの)平底の荷船,はしけ / 遊覧船,屋形船 / …'を'はしけで運ぶ / のろのろ動く,よろよろ動き回る《+『about』(『around』)》
barmy	 愚かな,少し気が変な(《米》balmy) 
baron	 男爵(英国ではviscount(子爵)に次ぐ貴族) / 《米》大実業家,…王
basic	 『基礎の』,基本的な(fundamental) / 塩基性(アルカリ性)の
basil	 〈C〉メボウキ(芳香のある草) / 〈U〉バジル(メボウキの葉…香辛料)
basin	 『たらい』,はぢ(bowl);洗面器 / (…の)たらい1杯[分]《+『of』+『名』》 / (自然または人工の)水たまり,池 / (川の)流域;くぼ地,盆地 / 入江,内湾,船だまり 
baste	 (焼くとき)〈肉など〉‘に'バターをぬる,油(たれ)をかける 
batch	 (パンなどの)一焼き分《+『of』+『名』》 / (…の)1度分の[の分量]《+『of』+『名』》 / 《話》(…の)束;群,組《+『of』+『名』》 
bathe	 《米》〈子供など〉'を'『入浴させる』(《英》bath) / …'を'『浸す』,『洗う』 / 〈汗・涙が〉…'を'ぬらす / 〈光などが〉…‘に'いっぱいに注ぐ,'を'包む / 《米》入浴する《英》bath) / 《おもに英》水泳する / 《英語》(海・川での)水泳 
batik	 ろうけつ染め / ろう染めの布
baton	 (音楽の)指揮棒 / バトンガールが持つバトン / (元帥などの官位を示す)官杖,司令杖 / (リレー用の)バトン / (警官の)警棒 
baulk	 =balk 
bawdy	 みだらな,わいせつな,品のない 
bayou	 《米》(アメリカ南部の)沼地性の入り江 
beach	 『浜』,海岸 / 海水浴場 / 〈ボートなど〉'を'浜に引き上げる 
beady	 ビーズのような;(特に目が)小さく丸く輝く 
beano	 =bingo 
beard	 〈C〉(人の)『あごひげ』 / (動物の)あごひげ;(一般に)ひげ状のもの / …‘に'勇敢に立ち向かう 
beast	 《文》(人間以外の)『動物』,(特に鳥・魚に対して)四足獣;(人間に対する)『けもの』,畜生 / (けもののように)粗暴な人 / 《英話》《~a》(…の)とてもいやなこと(物)《+『of』+『名』》 
beaut	 すばらしいもの(こと) 
beaux	 beauの複数形 
bedim	 (…で)〈目・心など〉'を'曇らせる,かすませる《+『with』(『by』)+『名』》 
befit	 《文》…‘に'適する,ふさわしい,似合う 
befog	 …'を'霧(雲)で包む / (…で)〈問題・論点など〉'を'ぼかす,あいまいにする《+『名』+『with』+『名』》
began	 beginの過去形 
begin	 『始まる,開始する』 / 発生する,起こる / …'を'『始める』,‘に'着手する / …'を'起こす,創始する
begot	 begetの過去形 
begun	 beginの過去分詞形 
being	 〈U〉存在,実在(existence);生命(life) / 〈U〉本質,本性(nature) / 〈C〉生き物 
belay	 〈船のロープ〉'を'綱留め栓に8字形に巻く / 《命令文に用いて》…'を'やめる(stop)
belch	 おくび,げっぷ / (ガス・煙・水などの)噴出;噴火 / …'を'激しく噴出する《+『forth』(『out』)+『名,』+『名』+『forth』(『out』)》 / おくびをする,げっぷが出る
below	 《fly,go,sink など移動を表す動詞と結びつき方向を表して》…『の下方へ』,より低い位置へ / 《位置》…『の下方で』,より低い位置に / (上手・先方に対して)…より下手に,より手前に / (度合・地位・数量などが)…『より以下で』(の) / …にふさわしくない,にさえ値しない / 『下方へ向かって』,低い位置へ / 下方で,低い位置で / (記述で)以下に,下記に / 下級の,下位に / 下記の,後述の
bench	 『ベンチ』,長いす / 〈U〉(職人・技師・科学者の)作業台,実験台,細工台 / 長くて狭い段丘 / 《the~》(スポーツの)選手席,ベンチ;《集合的に》補舌選手たち / 〈C〉裁判官席;〈U〉裁判官の職(地位) / 《集合的に》《the~》裁判官[たち] / 〈C〉(英国議会などの)議席 / 〈選手〉'を'補欠としてベンチに座らせておく
berth	 (船・列車などの)寝台,寝だな / (船舶の)停泊位置,投錨(びょう)地;操船余地 / 《船》職,地位 / 〈船〉'を'停泊させる / 〈人〉‘に'寝台(寝る所)を与える / 停泊する / 寝る所を手に書れる 
beryl	 緑桂石(エメラルドなど) 
besom	 竹ぼうき 
bhang	 インド大麻 / (インド大麻から作る)麻薬,麻酔剤
bidet	 ビデ(女性用局部洗浄器) 
bight	 入り江,小湾 / (海岸線・川岸の)屈曲 / 両端を固定したときの)綱のたるんだ部分;(結んだときにできる)綱の輪 
bigot	 (信仰・主義などに凝り固まった)がんこな迷信家,(人種的)偏見の持ち主 
bijou	 宝石 / 小さくかわいらしい物(場所)
bilge	 〈U〉(船底の)湾曲部 / 〈U〉(船底の)汚水,あか(bilge water) / 〈C〉(たるの)胴 / 〈U〉《話》くだらない話
bimah	 ビーマー(ユダヤ教の会堂内にある朗唱壇) 
binge	 (飲み食いしての)浮かれ騒き,とんちゃん騒ぎ,(何かを)思いきりすること 
bingo	 ビンゴゲーム(数を記したカードで縦・横・斜めに数字を合わせる賭(‘か')けごと) 
biped	 2足ある / 二足動物
birch	 〈C〉カバの木 / 〈U〉カバ材 / (また『birch rid』)〈C〉カバの枝のむち (学童を罰するのに用いる) / …'を'枝むちで打つ,罰する
birth	 〈C〉〈U〉『誕生』,出生 / 〈U〉『生まれ』,家柄;家系(lineage) / 〈C〉『起原』,起こり(origin) 
bison	 アメリカ野牛(buffalo);ヨーロッパ野牛 
bitch	(犬・オオカミ・キツネなどの)雌 / 《俗》性悪(しょうわる)女,あばずれ・嫌な女、意地悪な女、あばずれ、くそばばあ、よく文句を言う女、あま、淫乱な女、尻軽女・嫌なもの、難しいもの、難しいこと、大変なこと・ （反語的に）すごく良いもの、すごく楽しいこと
biter	 かむ人(年);かみつく動物(特に犬) 
black	 『黒い』,黒色の / 『暗い』,まっ暗な(dark) / (特にアフリカ系)黒人の / 汚い(dirty),汚れた(soiled) / 陰気な(gloomy);不吉な;見通しの暗い / 怒った(angry);不きげんな(sullen) / 腹黒い,邪悪な(wicked, evil) / 《文》不名誉な / (コーヒーに)クリーム(牛乳)を入れない,ブラックの / 〈U〉『黒』,『黒色』 / 〈C〉《しばしば『B-』》黒人 / 〈U〉黒衣,(特に)喪服 / 黒くなる;暗くなる / …'を'黒くする;…'を'暗くする(blacken) / (靴墨で)〈靴〉'を'みがく 
blade	 (刀・ナイフ・のこぎり・かみそりなどの)『刃』,刀身 / 刀,剣 / (特にイネ科植物の)葉,葉身 / (一寮に)薄く平べったい部分 / (アイススケート靴の)金属のすべり 
blain	 膿疱(のうほう),水疱,はれもの 
blame	 〈事〉'を'『非難する』,とがめる;(…のことで)〈人〉'を'非難する《+『名』+『for』+『名』(do『ing』》 / (…に)〈罪など〉'を'なすりつける《+『名』+『on』+『名』》 / (罪・過失などに対する)『責任』(responsibility);責め,非難(censure)《+『for』+{名}(doing) 
bland	 (態度などが)物柔らかな,人当たりがいい / (気候など)温和な;(食事など)刺激性のない / 興味のわからない,活気のない 
blank	 (紙が)『白紙の』;(欄が)空白の,書き入れていない / がらんとした,からの(empty);なんの装飾もない / 『ぼんやりした』,うつろな,無関心な / 全くの / 『空白』,空所 / 書き込み用紙(form) / 空虚;空(くう)の部分 / (語句・文学を伏せる場所に用いる)ダッシュ“‐":Mr-某氏 / (またblank cartridge)(銑火器の)空包 / …'を'消す,削除する《+『名』+『out,』+『out』+『名』》 / 《米》〈相手〉‘に'試合で得点させない 
blare	 〈ラッパなど〉'を'鳴り響かせる;…'を'大声で告げ知らせる《+『out』+『名』+『名』+『out』》 / 大きくやかましく鳴り響く / (らっぱ・角笛などの)耳ざわりな響き 
blase	 (楽しいことの見過ぎ・し過ぎで)飽きた,退屈した 
blast	 〈C〉(風の)『一吹き』,一陣の風;突風,疾風《+『of』+『名』》 / 〈C〉(穴から吹き出す空気の)一吹き / 〈C〉(笛・らっぱなどの)突然の大きな[不快な]音《+『of』+『名』》 / 〈C〉〈U〉爆破(explosion)《+『of』+『名』》 / 〈C〉(1回分の)発破,爆薬 / 〈C〉〈U〉爆風 / …'を'『爆破する』;…'を'爆破して作る(開く) / 《文》…'を'孫なう,台なしにする;〈霜などが〉…'を'枯 / 〈らっぱなど〉'を'急に大きく鳴らす / …'を'酷評する;(…について)〈人〉'を'こっぴどく叱る《+『名』+『about』+『名』(do『ing』)》 / …'を'のろう(damn) 
blaze	 〈C〉〈U〉炎,火炎 / 〈C〉〈U〉『強烈な光』,閃光(せんこう) / 〈C〉〈U〉燃え立つような輝き / 《a blaze》(感情・怒り・りの)突然の激発(outburst)《+『of』+『名』》 / 《複数形で》《話》《遠回しに》地貯 / 〈火が〉『明るく』(『あかあかと』)『燃える』 / (…で)〈物が〉燃えるように輝く(光)《+『with』+『名』》 / (ある感情で)燃え上がる,輝く《+『with』+『名』》
bleak	 (場楠が)吹きさらしの,荒涼とした / 寒い,冷え冷えする / (将来のことなど)暗い,陰うつな 
blear	 (涙などで)目がかすんだ,曇った(blurred) / (涙などで)〈目・視力〉'を'かすませる(blur)
bleat	 〈ヒツジ・ヤギなどが〉メーと鳴く / …'を'泣き声で言う / (ヒツジ・ヤギなどの)鳴き声 
blend	 (分離できないほどに)…'を'『混ぜ合わせる』;(…に)…'を'混ぜる《+『名』+『with』+『名』》 / 『混じる』;溶け合う / (…と)『調和する』《+『with』+『名』》(harmonize) / 『混合』,調合;〈C〉『混合物』
blent	 blendの過去・過去分詞 
blest	 《古》《詩》blessの過去・過去分詞 
blimp	 (観測用の)小型軟式飛行船 
blind	 『目の見えない』,盲目の(sightless) / 《補語にのみ用いて》(…を)見る目がない,気がついていない《+『to』+『名』》 / 盲目的な,めくらめっぽうの(reckless) / (特に車の運転者に)隠れて見えない / (通りなどが)行き止まりの,出口のない;(建築物が)窓のない / 肉眼で見えないでする,計器だけに頼る / 〈人〉‘の'目をくらませる,'を'盲目にする / (…に対して)〈人〉‘の'判断力(分別)を失わせる《+『名』〈人〉+『to』+『名』》 / 『日よけ』,すだれ,よろい戸,ブラインド / 人の目をごまかすもの,見せかけ / 《米》(猟師の)隠れ場 / 目が見えなくて
blink	 (無意識に)『まばたきする』 / 〈灯火・星などが〉『明減する』,ぴかぴか光る(twinkle) / (欠点・悪事などを)見て見ぬふりをする《+『at』+『名』》 / (…を見て)目をぱちくりさせて驚く《+『at』+『名』》 / 〈目〉'を'まばたきする / 〈灯火〉'を'点滅させる / …'を'見て見ぬふりをする / またたき / きらめき 
blitz	 =blitzkrieg / 猛烈な空襲 / (一般に)急襲 / …'を'急襲する
bloat	 …'を'ふくれ上がらせる / ふくれ上がる
block	 (木・石などの,通例平らな面のある)『かたまり』 / 《米》(四団を街路に囲まれた)『区画』,街区 / 街区の1辺の距離(一般に40メートル前後) / 《英》ブロック(アパート・事務所・商店などに区切られている大きな建物) / 『妨害物』,障害物(obstacle);(障害によって生じた)停滞,渋滞 / 台木,台(まないた・肉切り台・まき割り台・せり売り台・帽子の木型など);《the~》炭頭台 / (特にアメリカンフットボールで)ブロック(相手の選手の突進を阻止する) / 滑車(pulley) / (座席券・株券などの)一組《+『of』+『名』》 / 〈通路など〉'を'『ふさぐ』,〈通行・進行など〉'を'妨げる / 〈帽子など〉の型取りをする / (特にアメリカンフットボールで)〈相手選手の突進〉'を'ブロックする;(ボクシングで)〈相手のパンチ〉'を'ブロックする
blown	 blowの過去分詞 
blowy	 風のある,風の強い 
bluet	 青い花の咲く植物の総称;ヤグルマソウなど 
blunt	 『切っ先の鈍い』,なまくらの / 『ぶっきらぼうな』,無愛想な / …'を'鈍くする,鈍らせる / なまくらになる,鈍る
blurt	 …'を'なにげなく言う,うっかり口をすべらせる《+『out』+『名,』+『名』+『out』》 
blush	 (当惑・恥ずかしさのために)『顔を赤らめる』,赤面する / 〈C〉(当惑・恥ずかしさによる)『赤面』 / 〈U〉〈C〉赤み,ばら色 
board	 〈C〉(ある程度の長さと幅をもった薄い)『板』 / 〈C〉ボール紙,台紙 / 〈C〉食卓;〈U〉食事,(特に有料の)まかない / 〈C〉甲板(かんぱん),船べり / 〈C〉『委員会』;(官庁の)局,部,課 / 《the boards》舞台 / …‘に'板を張る,'を'板で囲う《+『up』(『over』)+『名,』+『名』+『up』(『over』)》 / …‘に'食事を出す,'を'まかない付で下宿させる / …‘に'乗り込む / (…に)まかない付きで下宿する,食事つきで滞在する《+『at』+『名』〈場所〉,+『with』+『名』〈人〉》
boast	 (…を)『自慢する』,鼻にかける《+『about』(『of』)+『名』(do『ing』)》 / …'を'『自慢する』,鼻にかける / …'を'『誇りとして持っている』,‘が'自慢の種である / 誇り / 『自慢』,自慢話 
bogey	 =bogy / (ゴルフで)ボギー(基準打数(par)より一つ多い打数)
bogie	 =bogy / (また『bogie car』)《英》ボギー者(旋回台でカーブが自然にできるようになっている鉄道車両)
bogus	 にせの,いんちきの 
bolas	 =bola 
bolus	 (動物用の)大きい丸薬 / かみこなれた食物の丸い固まり
boned	 (魚など)骨を取り除いた / (衣服が)(コルセットなどで)骨で張りをつけた[ような]
boner	 へま,大失策 
bonus	 ボーナス,特別手当;特別配当金 / 桂品,おまけ / 《話》思いがけない喜び[を与えるもの] 
borax	 硼砂 
borne	 bearの過去分詞 
bosky	 木の茂った;木陰の多い 
bosun	 =boatswain 
botch	 《話》…'を'ぶかっこうに繕う;…'を'やりそこなう,だいじにする《+『up』+『名』,+『名』+『up』》 / へたな繕い(仕事)
bough	 (木の)『大枝』 
boule	 人造宝石用のとっくり形の原石 
bound	 《副詞[句]を伴って》『はね上がる』,はね飛ぶ,はね返る / 〈心が〉おどる,わくわくする / 『はずみ』,はね返り;『跳躍』 
bowed	 頭を下げた,うなだれた,(重みで)下がった 
bowel	 〈C〉『腸』;《通例複数形で》腹わた,内臓 / 《複数形で》内部,中心部
bower	 《文》木陰 / (庭園内の)あずまや / 《詩》婦人の私室 
bowls	 球ころがし(芝生で行う木球競技) 
boxer	 ボクサー,けん闘家 / ボクサー(ドイツ種の中型犬)
brace	 つっぱり,支柱;かすがい,締め金 / 《複数形で》大かっこ({ }印) / 《複数形で》《英》ずぼんつり(《米》suspenders) / (…の)1対,1つがい(pair)《+『of』+『名』》 / (ドリルの)曲がり柄 / (…にそなえて)〈神経など〉'を'引き締める,緊張させる《+『名』+『for』(『against』)+『名』》 / (…で)…‘に'つっぱりをする,支えをする《+『名』+『with』+『名』》 / …'を'しっかり固定させる
bract	 (植物の)ほう(苞) 
braid	 組みひも,さなだひも;《おもに米》(髪を結ぶ)リボン,バンド / 《おもに米》=plait / 〈U〉モール / 《おもに米》=plait / …'を'組みひも(モール)で飾る 
brain	 『脳』,脳髄 / 《しばしば複数形で》『頭脳』,『知力』 / 《話》秀才,知的指導者 / …‘の'頭を打ち砕く
brake	 『ブレーキ,制動機』,歯止め / …‘に'ブレーキをかける / 〈人が〉ブレーキをかける 
brand	 (商品などの)『種類』,『品質』《+『of』+『名』》 / 『商標』,『銘柄』 / (家蓄・商品などに付けて所有主・品質などを示す)焼き印,焼きごて / (昔罪人に押した)烙印(らくいん);汚名 / 《文》燃えさし / …‘に'焼き印を押す / …‘に'(…という)汚名を着せる,烙印(らくいん)を押す《+『名』[+『as』]+『名』(『形』)》 / (…に)…'を'強く印象づける《+『名』+『on』(『in』)+『名』》
brant	 黒ガン(北極産の黒い渡り鳥) 
brash	 せっかちな,がむしゃらな / 無作法な,厚かましい
brave	 『勇敢な,勇ましい』 / 《文》はなやかな…みごとな / 勇士 / 北市インディアンの戦士 / 〈困難など〉‘に'勇敢に立ち向かう,〈危険〉'を'ものともしない 
bravo	 かっさいの叫び / うまいぞ,でかした
brawl	 騒々しいけんか…大騒ぎ / やかましく口論する,けんかする / 〈川などが〉ごうごうと流れる 
brawn	 (人の)筋肉…筋力 / 《英》煮て塩づけして固めた豚肉(《米》headcheese)
