have	 (また《話》『have got』)〈物〉‘を'『持っている』,所有している(進行形にできない)・(また《話》『have got』)〈親類・友人など〉‘が'『いる』,‘を'持っている,〈召使など〉‘を'かかえている;〈動物〉‘を'飼っている(進行形にできない) ・(また《話》『have got』)(特質・付属物として)…‘を'『備えている』,‘が'ある(進行形にできない) ・(また《話》『have got』)〈感情・意見など〉‘を'持つ,抱く(進行形にできない) ・《『have to』do》(また《話》『have got to』do)…『しなければならない』;《不定文で》…する必要がある・《『have to be』…》…に違いない・〈ある状態〉‘を'経験する,〈病気〉‘に'かかる / …‘を'食べる,飲む,〈たばこ〉‘を'吸う・《動作を表す名詞を目的語にして》《話》〈ある動作・行為〉‘を'する,行う・《『have』+『名』〈人〉+do》《しばしばwill, wouldと共に》〈人〉‘に'(…)させる,してもらう,される / 《『have』+『名』+『過分』》…‘を'(…)させる,される,してもらう・《+『have』+『名』+『形』(『名』,『過分』,do『ing』)〈補〉》…‘を'(…の)状態に保つ,(…の)ままにしておく(進行形にできない) / …‘を'得る,もらう,受ける(進行形にできない) ・〈人・動物が〉〈子〉‘を'産む,もうける・《通例否定文で》…‘を'許す,認める・(財産・社会的地位などを)持っている人;(資源・核兵器を)持っている国
into	 《運動,動作の方向》…『の中へ(に)』 / …に突きあたって / …に加えて,の一員に / 《状態の変化・結果》…『に』,…『へ』 / 《時間の推移》…まで / 《割算に用いて》…を割って
only	 『唯一の』,たった一つ(一人)の;《複数名詞に付けて》ただ…だけ / 『最適の』,最良の(best) / 《数量に関して》『たった』,わずか / 『ただ…だけ』(『ばかり』),単に…に過ぎない / ただし,だが / 《英》《thatを伴って》…ということさえなければ
year	 〈C〉(グレゴリオ暦で1月1日に始まり12月31日に終わる)『年』,暦年(calendar year) / 〈C〉(任意の時からの)『1年間』,12か月 / 〈C〉年度;(特定の)1年 / 〈C〉…『歳』;《複数形で》年齢 / 《複数形で》老齢(old age) / 《複数形で》長い年月,長月,多年 / 《複数形で》時代 / 〈C〉(天文学上の)暦年
some	 《複数名詞または数えられない名詞を伴って》『いくらかの』,多少の,少しの・《複数名詞または数えられない名詞を伴って》『一部の』,中には[…もある],…である[ものもある] ・《単数普通名詞を伴って》『ある』…,何か[の],どこか[の] / 《数詞を伴って》『約』…,…くらいの,…ばかり・《数量を表す名詞を伴って》相当多い,かなりの・《話》たいした,相当な,なかなかの・『いくらか』,多少,少し,幾分・『ある人たち,あるもの』,[…する人]もある・いくらか,多少,少しは(somewhat) ・かなり,相当
take	 …‘を'『手に取る』,つかむ,握る / (…から)…‘を'(力づくで)『取り上げる』,奪い取る,占領する《+名+from+名》・〈人〉‘を'『捕らえる』,〈魚・獲物〉‘を'捕獲する・(いくつかある物の中から)…‘を'『選んで取る』,選ぶ・〈賞など〉‘を'『勝ち取る』;〈試合〉‘に'勝つ・〈贈り物・金など〉‘を'『受け取る』,もらう・〈忠告など〉‘を'受け入れる,に従う;〈非難など〉‘を'甘受する・《副詞[句]を伴って》(…な気持ちで)…‘を'受け取る,‘に'反応する・〈人〉‘を'迎える,預かる,引き受ける;〈婿など〉‘を'とる・…‘を'予約する,借り入れる:(定期的に)…‘を'購読する,購入する・(元となるものから)…‘を'取ってくる,(本などから)…‘を'引用する《+名+from+名》・(体内に)…‘を'『取り入れる』,食べる飲む;〈休日など〉‘を'取る・〈外力・影響〉‘を'受ける;〈病気〉‘に'かかる:〈色〉‘に'染まる;〈におい〉‘が'移る;〈火〉‘が'付く・〈物〉‘を'『持って行く』,〈人〉‘を'『連れて行く』・…‘を'連れ去る;〈人の命〉‘を'奪う・(…から)…‘を'減じる,引く《+名+from(off)+名》・(…で)〈人〉‘の'心を奪う,〈注意など〉‘を'引く《+名+with+名》・(…へ)〈乗り物が〉…‘を'『運ぶ』,〈道などが〉…‘を'導く,〈仕事などが〉…‘を'行かせる《+名+to(into)+名》・〈乗り物〉‘に'『乗る』・〈物事が〉・〈時間・空間・労力など〉‘を'『必要とする』,要する・〈人が〉〈場所・位置〉‘を'『占める』・《動作を表す名詞を目的語にして》〈その名詞が表す行動・動作など〉‘を'『する』,とる,実行する・〈手段〉‘を'とる;〈道具など〉‘を'用いる・〈時間・機会など〉‘を'利用する・〈授業〉‘を'受ける・〈道〉‘を'行く,とる・…‘を'書き取る;〈絵画〉‘を'描く;〈写真〉‘を'撮る・…‘を'取り扱う,考慮する・責任・義務〉‘を'負う;〈役目・職務など〉‘に'就く・…‘を'計る,測定する;…‘を'調査する・〈ある感情・決意・見解など〉・‘を'持つ,抱く・…‘を'『理解する』,分かる・…‘に'当たる(hit) ・〈男が〉〈女〉‘と'性交する・〈機械装置などが〉かかる;〈歯車などが〉かみ合う・〈根が〉つく;〈種が〉芽を出す・〈薬が〉効く;〈接種が〉つく / 〈インキ・染料・絵の具などが〉付く,乗る / 人気を博す,受ける・《副詞[句]を伴って》写真に写る・(1回の)捕獲高,漁獲高 / (映画で,連続して撮った)1シーン;(連続撮影の)1ショット・反応・見解：「What is your take on何々?」で「何々をどう思いますか」 
come	 〈相手が〉(話し手の方へ)『来る』,やって来る;〈話し手が〉(相手の方へ)『行く』,伺う《+『to』(『into』)+『名』》 / (ある場所に)『着く』,到着する《+『to』+『名』》 / 〈時が〉『到来する』;〈順序が〉くる / (…に)『届く』,達する《+『to』+『名』》 / 〈事が〉(…に)『起こる』,生じる,降りかかる《+『to』+『名』》,(…から)起こる《+『from』(『of』)+『名』》 / 〈物が〉現れる,できる;〈子が〉生まれる / 〈考えなどが〉(人の)心に浮かぶ《+『to』+『名』》 / 〈人が〉(…の)『出身である』,生まれである《+『from』(『of』)+『名』》 / 〈商品などが〉利用できる,手に入る / (ある状態・結果に)『なる』,至る / 《命令形で促したり警告などを表して》さあ,これこれ / 《仮定法現在で,年月・時期などを表す語[句]の前で》…が来ると / 《仮定法現在》〈障害・難関など〉が来ても / 《『come the』+『名』の形で》(…の)ふるまいをする,(…)ぶる
know	 (事実として,また知識の上で)…‘を'『知る』,知っている;…‘を'覚えている / …‘を'『見て分かる』,織別できる,の見分けがつく;(…から)…を見て分かる《+『名』+『from』+『名』》 / (経験として)…‘を'『知る』 / 『知る』,知っている,分かっている / 熟知 
like	 …‘を'『好む』,‘が'好きである / 《しばしば否定文で,またwould,《英》shouldと共に用いて》…‘を'望む,…したい / 『好む』;望む / 《複数形で》好み,好きな事
then	 『その時』,あの時,そのころ / (時間・場所・順番などが)『それから』,その次に,隣に,その[すぐ]後で / 『その上』,それに / 《通例文頭または文尾において》『それでは』,それなら,その結果 / 『その時の』,当時の / 『その時』
work	 〈U〉(一般的な)『仕事,』労働;努力,勉強 / 〈U〉(実際にやっている具体的な)『仕事』,作業,勉強 / 〈U〉《定冠詞なしで》『仕事の口,』職[業],(工場・会社などの)勤め先 / 〈U〉制作,細工;《比喩(ひゆ)的に》しわざ / 〈C〉《しばしば複数形で》(文学・芸術の)『作品,』著作,(ある人の)作品 / 〈U〉《集合的に》(材料・道具などを含めて)作っているもの(今しているもの)全部 / 《複数形で》(機械の)動く部分,仕掛け / 《複数形で》《単数・複数扱い》《しばしば複合語を作って》『工場』 / 《複数形で》(宗教・道徳的な)行為,行い / 〈U〉(物理学で)仕事量 / 『働く』,仕事をする;(…に)取り組む,(…を)勉強する《+『at』(『on』)+『名』》 / (…に)『勤める』,勤務する《+『at』(『on, for』)+『名』》 / 《しばしば副詞[句]を伴って》〈機械・道具などが〉『ぐあいよく動く,』作動する,〈計画などが〉うまくいく,〈薬などが〉効く / 《副詞[句]を伴って》(ある方向に)少しずつ進む / 〈顔などが〉ぴくぴく動く,〈波などが〉揺れる / 《通例副詞を伴って》細工される,こねられる / 発酵する / 〈機械・道具など〉‘を'『動かす』,運転する / 〈人・牛馬など〉‘を'『働かせる』 / 〈工場・鉱山・農場など〉‘を'操業(経営)する,〈土地〉‘を'耕作する / 〈ある地域〉‘を'活動場所にする,受け持つ / 〈結果・効果など〉‘を'もたらす,生じさせる / (手で)…‘を'細工する,加工する;…‘に'手を加えて(…を)作る《+名+into+名》 / 《副詞[句]を伴って》(苦労して)…‘を'進む,(努力して)…‘を'得る / 〈人・物〉‘を'動かして(…に)する《+名+to(into)+名》 / …‘を'刺しゅうする,縫い付ける
such	 《特定の種類・程度を示して》『こんな』,あんな / 《類似の種類・程度を示して》『そんな』,そのような / 《名詞の前にのみ用いて,強意的に》『とても』(良い,悪い,ひどい) / 《補語にのみ用いて》『そのような』 / そのような人(物,事) 
give	 (無償で)〈物〉‘を'『与える』,あげる,贈る,提供する / 〈物〉‘を'『渡す』,手渡す(hand over) / 〈代金〉‘を'『支払う』 / 《抽象的なことを目的語にして》…‘を'『与える』,授ける,出す / 《『give』+『名』〈間〉+『名』〈直〉》…‘に'〈体の一部〉‘を'差し出す / …‘を'供給する;…‘を'生ずる,もたらす / 〈数量・兆候など〉‘を'示す / 《特に短い動作を表す名詞を目的語にしてgive a~の形で》…する / 〈会など〉‘を'催す,開く;〈劇など〉‘を'上演する / (…のために)…‘を'ささげる《+『名』+『for』(『to』)+『名』》 / (…に)〈努力・注意など〉‘を'向ける,注ぐ《+『名』+『to』+『名』》 / 《『give』+『名』+『to』do》…‘に'(…)させる / (…に)『物を与える』,寄付する《+『to』+『名』》 / 力に屈する,妥協する / (力を受けて)へこむ,たわむ;つぶれる / (材料などの)弾力性;(性格などの)順応性,協調性
over	 《上方の位置・場所》…『の上に』,を覆って;…に覆いかぶさって / 《移動を指す動詞とともに用いて》…『を越えて』 / 《状態を表す助詞とともに用いて》…を越えた向こうに / 《数詞を伴って》…『以上に』 / …『の一面に』,の至るところに / …『支配して』,より勝って / …『について』,に関して / …『しながら』に従事して / 《期間》…『の間ずっと』 / (電話・ラジオなど)『で』,によって / …に沿って,…を(along) / 『越えて』,渡って,向こうへ / 倒れて,ひっくり返って / 『終わって』,すんで / ひっくり返して / 『繰り返して』 / 『あふれて』;余って / 『終りまで』,ずっと,すっかり / 過度に / (クリケットで)乗判が交替を命じるまでの投球数
most	 《the ~》(数・量・程度などが)『最も多い』,最高の,最大の / 《theをつけないで》『たいていの』,大概の / 《the ~》《単数扱い》『最大数』(量),最高額,最大限度 / 《theをつけないで》(…の)『大部分』,大多数《+『of』+『名』》 / 『最も多く』,いちばん / 《形容詞・副詞の最上級を作って》『最も』 / 《theをつけないで》はなはだ,非常に / 《米話》ほとんど(almost, nearly)
find	 (偶然に)…‘を'『見つける』(進行形にできない) / …‘を'『見つけだす』,捜しだす(進行形にできない) / 〈今まで知られていない事・物〉‘が'『分かる』,知る,気がつく《+『名』+『out,』+『out』+名》 / 《しばしば受動態で》…‘が'存在することを知る / …‘に'届く,達する / 〈評決・判決〉‘を'下す,裁定する / …‘を'支給する;(…を)…‘に'支給する,供給する(provide)《+『名』+『in』+『名』》 / (特に,貴重な)発見物,掘出し物
also	 …『もまた』(too),やはり / そしてその上,それから
many	 『多くの』,『たくさんの』,多数の / 《many a(an)…の形で》《文》《単数名詞を従えて》多くの,多数の / 《複数扱い》 / (…の)『多数』《+『of』+『名』(複数形)》;多数の人(もの) / 《the~》『大多数』,大衆 
must	 《義務・必要》…『ねばならない』,すべきである / 《命令・強制》…『ねばならない』,…せよ;《否定文では禁止》…『してはいけない』 / …『にちがいない』,きっと…のはずだ;《「must have+過去分詞」の形で》…であったに違いない,きっと…であったはずだ / 『必ず…する』,…は避けられない / どうしても…しないと承知しない / 《話》《過去のあいにくのでき事》あいにく…した / 《話》絶対必要なもの,欠かせないもの,必ず見る(聞く,読む)べきもの / 《名詞の前にのみ用いて》絶対必要な,不可欠の
back	 〈C〉(人・動物の)『背』,『背中』,背部 / 《通例the~》(正面に対して)(…の)『後ろ』,『裏』,奥,後部《+『of』+『名』》 / 《通例the back》背に似たもの;(手足の)甲;(刀の)みね;(いす・本の)背 / 〈C〉〈U〉(フットボール・ホッケーなどの)後衛 / 《名詞の前にのみ用にて》『後ろの』,後部にある,裏の / 後もどりする,逆の / 遅れている,未払いの / (中心から)遠い,へんぴな,奥地の / (音声が)後舌音の / 『後方へ』,『後ろに』(backward) / (場所・状態が)『もとへ』,帰って,返して / (時間的に)『さかのぼって』,今から…前に(ago) / 〈車など〉'を'『後退させる』 / (…で)〈人・計画など〉'を'『後援する』,支持する(support)《+『名』+『in』+『名』》 / (競馬で)…に賭ける / (…で)…‘の'伴奏をする《+『名』+『by』+『名』》 / …‘の'裏手にある,背景をなす / 〈手形など〉‘に'裏書きする(endorse) / 《しばしば受動態で》〈本〉‘に'背をつける,(…で)…'を'裏打ちする《+『名』+『with』+『名』》 / 後ずさりする,後退する(move backward)
long	 (距離・物の長さが)『長い』 / (時間が)『長い』,長く続く / 《時間・距離などを表離などを表す語を伴って》長さが…の / 『長々しい』,あきあきする / (数量が標準よりも)『多い』,長い / (人が)やせてひょろ長い / 長く,長い間,久しく / …じゅう / ずっと(前に,後に) / 長い間
much	 (量・程度などが)『多くの』,多量の / 『たくさん』,多量 / 《通例否定文の補語として》大した物(事),重要な物(事) / 《動詞・過去分詞を強めて》『大いに』,非常に / 《形容詞・副詞の比較級・最上級を強めて》『ずっと』,はるかに / 《「同じ」の意味の語句を修飾して》たいてい,ほとんど
down	 (高い所から)『下へ』,降りて,地面へ / (地理・地図上)南へ,下町へ;(風・流れなどが)『下(しも)手へ』;《英》(都会・大学から)地方へ,離れて / (価格・品質・温度などが)『下がって』,(数量・スピードなどが)少なく,減じて,(濃度が)薄く / (健康・風の勢いなどが)『衰えて』,気分が沈んで / (時代などが)下がって,…に至るまで / (身分・地位が)下がって / (紙面に)書き留めて,記録して / (頭金を)現金で,即金で / 最後まで,徹底的に / しっかりと,動けないように / (高い所から)…『を下がって』;…『に沿って』;…の向こうに / …の下流に / …以来 / 《名詞の前にのみ用いて》『下りの』,下への / 《名詞の前にのみ用いて》(列車・バスなどが)下りの / 《補語にのみ用いて》下に,下がって / 《補語にのみ用いて》弱まった,おさまった;落胆した,元気のない / 《補語にのみ用いて》(勝負で)負けて,すって / 《補語にのみ用いて》《おもに米話》(野球で)アウト / …‘を'打倒する,負かす,撃ち落とす / …‘を'飲み干す,飲み込む / 下り,下降 / 《複数形で》不運,逆境 
just	 (人・行為などが)『正しい』,『公正な』(fair) / (賞罰などが)受けるに値する,当然の / もっともな,十分根拠のある / 合法的な,正当な / 『ちょうど』,まさに(exactly, precisely) / 《完了形と共に用いて》『たったいま』[…したばかり] / 《過去形と共に用いて》《おもに米》たったいま[…したばかり] / 《現在[進行]形と共に用いて》ちょうどいま(そのとき)[…するところだ] / 《しばしばonlyと共に用いて》『ようやく』,かろうじて(barely) / 『単に』,ただ(only, merely) / 《命令文で用いて》『ちょっと』,まあ / 《話》全く,断然
each	 『おのおのの』,『めいめいの』,各… / 『各自』,おのおの,めいめい / めいめい[に],それぞれ 
very	 《副詞・形容詞・分詞形容詞を強めて》『非常に』,とても,たいへん,きわめて / 《否定語と共に用いて》『あまり』,さほど,たいして(…でない) / 《same, opposite, [one's]ownなどの前で》『真に,まったく』,ほんとうに / 《古》まったくの,本物の,真の / 《the(this,that,one's)~》『まさにその』,ちょうどその / 《the(one's)~》ただ…だけで(mere);(…)でさえ,までも(even)
hand	 『手』(手首から先の部分) / (時計・計器の)針 / 《単数形で》筆跡 / 側,方(side): / 《a~》(…への)援助,手助け《+with(at, to)+名》 / 職工,職人,人手 / 乗組員 / 《前に形容詞を置いて》(…するのが)(じょうずな・へたな)人(+『at』+『名』(『doing』)》 / 《単数形》技量,腕前;(…の)やり方,扱い方《+『at』(『with』)+名》 / 《単数形で》拍手かっさい / 《文》《one's~,the,》結婚の承諾;確約 / (カードの)持ち札;一勝負 / 《しばしば複数形で》所有,管理 / ハンド(馬の高さを測る単位;4インチ) / 《『hand』+『名』〈間〉+『名』〈直〉=『hand』+『名』+『to』+『名』》…‘に'…‘を'『手渡す』,取ってやる / 《副詞[句]を伴って》〈人〉‘に'手を貸す / 手の(に関する),手のための / 手で操作する / 手持ちの 
life	 〈U〉(無生物と区別して,生物が持っている)『生命』,命 / 〈U〉《集合的に》『生物』,生き物 / 〈U〉(死後の)霊,霊的存在 / 〈C〉人間(person) / 〈U〉『一生』,生涯 / 〈C〉『寿命』,活動(有効,耐久)期間 / 〈U〉『人生』,現世,世間 / 〈C〉〈U〉『生活』,暮らし,生き方,暮らし方 / 〈C〉『伝記』(biography) / 〈U〉『生気』,活気,元気(vitality)
show	 〈物・姿・感情など〉‘を'『見せる』,示す / …‘を'『示して』(『説明して』)『教える』・…‘を'『明らかにする』,証明する;〈計騎などが〉…‘を'示す・《副詞[句]を伴って》〈人〉‘を'『案内する』,導く・…‘を'陳列する;…‘を'展示する;〈映画,劇など〉‘を'上映(上演)する / 見える,姿を見せる・(ある状態に)見える《+『形』〈補〉》(進行形にできない) ・《話》〈人が〉展示会(展覧会)を催す;商品を陳列する;〈映画・撃などが〉上映(上演)される・〈U〉《しばしばa show》『見せること』,表示・〈U〉《しばしばa show》見せかけ・〈U〉《しばしばa show》外観,様子;きざし / ・〈U〉《しばしばa show》見せびらかし,見え・C〉『展示会』,『展覧会』,品評会・〈C〉『見せ物』,興行,ショー,芝居,映画;(ラジオ・テレビの)番組・〈U〉《しばしばa show》《話》機会,チャンス;見込み・〈U〉《しばしばa show》光景,ながめ・〈C〉《話》仕事;物,事
both	 『両方の』,双方の / 『両方』,両者 / 《『both』…『and』…の形で》『両方とも』,…のいずれも 
mean	 〈人が〉…‘を'『意図する』,‘の'つもりである;…‘を'言おうとある;示そうとする / 〈単語・句・文章などが〉…‘を'『意味を持つ』,‘を'『意味する』 / (人に対して)…‘を'当てる,向ける《+『名』+『for』+『名』》 / 《受動態で》〈人・物〉‘を'(…)向きにする / 〈物事が〉…‘を'示す,表す / (結果として)〈物事が〉…‘を'もたらす,生じさせる / 《『mean』+『for』+『名』+『to』 do》《米話》(…が…するような)つもりでいる 
last	 《the ~》(順序・時間について)『最後の』;(行為・でき事について)最後の / 最後に残った,後のない / 《時を表す語につけて》『すぐ前の』,この前の,昨…,先…;最近の,この,ここ / 『最新の』,最近の / 《the ~》『最も』(…)『しそうにない』,最も(…)でない《+『名』+『to』 do(『that節』『wh-節』)》 / 《the ~》(地位・評価・重要さなどが)最も劣る / (特に人生の)終末の / 《the ~》最大の,この上ない(utmost) / (lateの最上級) / (順序・時間が)『最後に』,いちばん遅く / 『この前に』,最近 / (講演・論文などで)最後に,終りに臨んで / 《the ~》『最後の人』(『物』) / 最近のもの,この前のもの / 『最後』,終り,臨終;(月・週の)終り 
move	 《しばしば副詞[句]を伴って》『動く』,移動する,揺れ動く / (…から…へ)『引っ越す』,移転する《+『from』(『out of』)+『名』+『to』+『名』》 / 《副詞[句]を伴って》〈時間などか〉経過する(ある方向へ)〈事態・仕事などが〉進展する,向かう / (…で)活動する,活躍する《+『in』(『on』)+『名』》 / 動議を出す,提案する / (チェス・チェッカーなどで)こまを動かす / 《しばしば副詞[句]を伴って》…‘を'『動かす』,移動する,進行させる;…‘を'揺り動かす / 《しばしば受動態で》〈人〉‘を'『感動させる』,‘の'気持ちを動かす / …‘を'動議する,提案する / 措置,手段 / (チェス・チェッカーなどで)こまを動かすこと,一手;こまを動かす番,手番 / 《単数形で》動き,動作
same	 《the same》(いつもと)『同じ』,(以前と)変わらない / 《the same》(…と)『同一の』,同じ;同種の《+『as節』(『that節』,『wh-節』)》 / 《this,these,that,thoseと共に》《強調的,時に軽べつして》この,その,例の,前に述べた / 同じ物,同じ事 / 同様に 
part	 〈C〉(全体を構成する)『部分』 / 〈U〉《しばしばa~》(…の)『一部』,『一部分』《+『of』+『名』》 / 〈C〉《割合》…分の1,(比率の)1 / 〈C〉(機械,器具などの)部品 / 〈C〉(仕事などの)『役目』,分担;関与 / 〈U〉(対立・契約などの)一方の側 / 〈C〉《おもに米》(頭髪の)分け目(《おもに英》parting) / 〈C〉《複数形で》地域,地方 / 〈C〉(演劇・影画・オペラなどの)『役』,役割り(role);(役の)せりふ / 〈C〉声部,音部,パート;パート譜 / (複数形で)才能,資質 / …‘を'二つに(部分に)分ける;(各部分に)‘を'分ける)《+『名』+『into』(『in』)+『名』》 / (…から)…を引き離す,分ける《+『名』+『from』+『名』》 / (二つ以上の部分に)『分かれる』 / 『別れる』 / (物を)手放す,処分する《+『with』+『名』〈物〉》 / 一部分は,部分的に,幾分 
