abed	 寝床に(in bed) 
beam	 〈C〉(建設の)『はり』,『けた』,横材 / 〈C〉(船の甲板を支える)横はり / 〈C〉(はかりの)さお;(織機の)糸巻き / 〈C〉『光線』,光束 / 〈C〉(顔などの)『輝き』,晴れやかさ / 〈C〉(船舶・航空機用の)信号電波 / 〈U〉最大船幅 / 《副詞[句]を伴って》『輝く』,光を発する / (…に)顔を輝かせる《+『at』(『on, upon』)+『名』》 / 〈光・熱〉'を'出す,発散する / (…に向けて)〈放送・無線信号〉'を'送る《+『名』+『at』(『to』)+『名』》 / …'を'顔を輝かせて言う
bean	 『豆』(おもにいんげん豆・そら豆など大きめの豆類) / 豆のさや(pod) / 豆に似た実 / 《俗》頭 / 《俗》(野球で)ビーンボールを投げる 
bear	 〈C〉『クマ』 / 〈C〉乱暴者 / 〈C〉(株式で)売り方 / 《the B-》クマ座
beat	 (連続して)…'を'『たたく』,打つ(pound) / (…に)…'を'『たたきつける』,打ちつける《+『名』+『against』+『名』》 / (…に)…'を'たたいて作る《+『名』+『into』+『名』》;〈金属〉'を'打ち延ばす / …'を'勢いよくかき混ぜる / 〈リズム・拍子〉'を'手をたたいて(手を振って,足を踏んで)とる / 〈道〉'を'踏み固めて作る / 《話》〈人〉'を'困らせる,まいらせる / 〈風・雨・波などが〉(…に)『打ちつける』,〈人が〉(…を)ドンドン打つ《+『at』(『against』,『in』,『on』)+『名』》 / 〈心臓・脈が〉鼓動する,脈打つ / ドンドン鳴る / 〈船が〉風に逆らってジグザグに進む / 『続けて打つこと』,連打 / (心臓などの)鼓動 / (警官などの)巡回(担当)区域,持ち場 / 拍子;手拍子,足拍子 / =beatnik / 《補語にのみ用いて》《俗》疲れはてた,へとへとになった / 《名詞の前にのみ用いて》《話》ビート族の
beau	 男友達,ボーイフレンド / しゃれ男;色男
beck	 うなずき;手招き 
belt	 『ベルト』,バンド,帯 / (特徴のある)地帯,地方 / (機械の)ベルト / ベルト状のもの / 《話》ピシャリとたたくと / …'を'ベルトで締めてつける《+『名』+『on,』+『on』+『名』》 / …'を'ベルトで巻く;(ベルトで締めるように)…'を'取り巻く《+『名』+『up,』+『up』+『名』》 / (革帯などで)…'を'打つ,たたく / 《話》…'を'ぶんなぐる 
bema	 聖堂内陣 / ユダヤ教の会堂内にある壇
bend	 〈まっすぐな物〉'を'『曲げる』 / (…に)〈人〉'を'『従わせる』,屈服させる,〈意志〉'を'曲げさせる《+『名』+『to』+『名』》 / (…の方向に)〈視線・歩みなど〉'を'『向ける』,〈心など〉'を'傾ける《+『名』+『to』(『toward』,『on』)+『名/(do『ing』)》 / 〈物が〉曲がる / 身をかがめる;(…に)かがみこむ《+[『down』]『over』+『名』》 / (運命・意志,人などに)『従う』,屈服する《+『before』(『to』)+『名』》 / (…を方向に)『曲がる』,向かう《+『to』(『toward』)+『名』》 / (仕事などに)取り組む,身を入れる《+『to』+『名』》 / 曲がり,湾曲部,曲がった所 / (…を)曲げる(曲がる)こと,(身を)かがめること《+『of』+『名』》 / (綱の)結び目 / 《話》《the bends》ケーソン病,潜水病
bent	 bendの過去・過去分詞 / 曲がった / 《補語にのみ用いて》(…の)決心をした,(…に)熱中した《+on+名(doing)》 / 《英俗》不正直な / (…に対する)性癖,性向,好み《+for+名》 
berg	 氷山(icebergの短縮形) 
berk	 (特に男の)まぬけ,とんま 
best	 (『good』の最上級;比較級は『better』)『いちばんよい』,最もよい,最良の / (『well』の最上級;比較級は『better』)『健康状態が最良の』(healthiest) / 最大の,大部分の / 《話》(反語的に)きわめてひどい,徹底した / (『well』の最上級;比較級は『better』)『いちばんよく』,最もよく,最も / 《通例過去分詞と結合して形容詞を作って》最もよく / 『最上』,最善,最良;最もすぐれた人々(物) / (…の)『最もよいもの』(部分)《+『of』+『名』》
beta	 ベータ(ギリシア語アルファベットの第2文字;Β,β;英語のB,b に遭当) 
bevy	 (少女・婦人,小ジカ・小鳥などの)群れ,一団《+『of』+『名』》 
bias	 〈C〉(布地の裁断や縫い目の)斜線,バイアス / 〈C〉〈U〉(…に対する)心理的傾向,性癖;先入観;偏見《+『toward』(『against』,『for』)+『名』》 / 斜めの;斜めに裁った / (…に対して)〈人〉‘に'偏見を抱かせる,〈人の意見・心〉'を'一方に片寄らせる / 《+『名』+『against』(『towards, in favor of』)+『名』》 
bide	とどまる; 住む; 待つ/こらえる, 我慢する.
bier	 (棺を載せる)棺台 
bike	 =bicycle 
bile	 胆汁(たんじゅう) / かんしゃく;不きげん
bilk	 〈勘定・借金など〉'を'踏み倒す / …をぺてんにかける,欺く
bind	 (ひもで)…'を'『しばる』,'を'束ねる《+『up+『名』,+『名』+『up』》 / (旨で)旨'を'『巻く』《+『名』+『with』+『名』》;〈包帯など〉'を'巻きつける《+『up』+『名』,+『名』+『up』》 / 《しばし受動熊で》〈人〉'を'『束縛する』,‘に'義務を負わせる / (氷・セメントなどで)…'を'固める,凝結させる《+『名』+『with』+『名』》 / 〈人〉'を'年季奉公に出す,徒弟(とてい)に出す / 〈本〉'を'とじる,製本する,装丁する / 〈衣服が〉…'を'窮屈にする,締めつける / 〈織物など〉‘に'へりをつける,縁飾りをつける / 〈土・砂などが〉固まる,締まる / 拘束する,拘束力がある / 〈衣服が〉窮屈である / 厄介な事態
biog	 biographical / biography / biographer 
bird	 『鳥』 / 〈話〉《修飾語を伴なって(目立った特徴をもった)やつ,人 / =shuttlecock / 《英俗》女 / 《俗》《the bird》(分満を表す)しーっしーっという野次《形容詞的に》『bird feathers』{名}鳥の羽『bird life』{名}〈U〉鳥の生活 
biro	 =ballpoint pen 
bite	 …'を'『かむ』,かじる,くわえる / 〈虫が〉…'を'刺す,食う / 〈こしょうなどが〉…'を'刺激する;〈寒さが〉…‘に'しみる;〈霜が〉…'を'いためる;〈酸が〉…'を'腐食す / る / 〈歯車や機械などが〉…‘に'かみ合う;〈刃物などが〉…‘に'切り(食い)込む / かむ;かみつく;〈魚が〉えさに食いつく / 〈寒さが〉しみる;〈こしょうなどが〉刺激する;〈言葉などが〉(…に)食い込む《+『into』+『名』) / (歯車などが)かみ合う,空回りしない / 『かむこと』,食いつくこと;(釣りで,魚の)食い / 〈C〉(食べ物の)1口[分]《+『of』+『名』》;《話》軽い食事 / 〈C〉かみ傷,(虫などの)刺した跡 / 〈U〉ぴっとする刺激;辛み;(傷の)痛み;激痛 / 〈U〉(機械などの)かみ合い 
bled	 bleedの過去・過去分詞 
blew	 blowの過去形 
blip	 レーダースクリーンの映像 / ピッという音
bloc	 ブロック,圏(地理・共通の利害・政治・経済上の目的などのために団結した団体・国家などの結合体) 
blot	 (特に,インクなどの)汚れ,しみ / (人格・名声などにつけられた)汚点,汚名 / 〈他〉…‘に'しみおつける,'を'汚す / (吸取紙で)…‘の'汚れ(しみ)を吸い取る;〈汚れ・しみ〉'を'吸い取る
blow	 〈風が〉『吹く』 / 《副詞[句]を伴って》(…に)風(空気)を送る,吹きつける《+at(on)+名》 / 『風で動く』,なびく,吹き飛ぶ / 〈オルガン・笛・らっぱが〉鳴る / (壊れて,だめになって)吹っ飛ぶ《+『out』》 / 〈クジラが〉潮を吹く / 《副詞[句]を伴って》〈風が〉…'を'『吹く』,吹き動かす,‘に'吹きつける,〈人が〉…'を'吹く,吹き払う / …'を'吹き鳴らす / …'を'吹いて作る(ふくらませる) / 〈鼻〉'を'かむ / (爆発・故障で)…'を'吹き飛ばす / (無器用に・むちゃくちゃにやって)…'を'吹き飛ばしてなくす / 《命令形または受動態で,いまいましい気持ちを表して》 / 一吹き;《話》さっと吹く風 / (楽器の)吹奏 / (クジラの)潮吹き
blue	 『青い』,あい色の / 青黒い / 《話》陰気な,憂うつな / 〈U〉『青色』,あい色;青色の着物 / 〈U〉〈C〉青色絵の具,あい色染料 / 《the~》《詩》青空,青い海 / 《the blues》《話》気のふさぎ,うれいの色 / 《the blues》《ときに単数扱い》(ジャズ音楽の)ブルース / …'を'青色にする 
blur	 にじみ;しみ,汚れ / 不鮮明;かすみ,曇り / (…で)…'を'汚す《+『名』+『with』+『名』》 / …'を'ぼんやりさせる,曇らす
boar	 (去勢しない)雄ブタ / =wild boar
boat	 『小型の船』,小舟,ボート / 《話》(大小に関係なく一般に)船,汽船 / 舟形の容器 / 舟に乗る / …'を'舟で運ぶ 
bode	 …‘の'前兆となる,'を'予言する 
body	 〈C〉『身体』,肉体 / 〈C〉(人・動物の)『胴体』 / 〈C〉)物の)『主要部』,本体《+『of』+『名』》 / 〈C〉(…の)『団体』,群れ:(…のたくさんの)集まり《+『of』+『名』》 / 〈C〉物体,…体 / 〈U〉実質;(酒・味などの)こく / 〈C〉《話》人 
bogy	 おばけ,幽霊 / 人の悩ますもの,人につきまとうもの
boil	 沸く / 煮える / 〈人,人の気持が〉(怒り・興奮で)煮えくりかえる,激する《+『with』+『名』》 / (沸騰する湯のように)わき立つ / …'を'『沸かす』 / …'を'『煮る』,ゆでる / 煮沸,沸騰;《the ~》沸騰点 
bola	 2個以上の鉄玉付きの投げなわ;(おもに南米南部で,獣の脚に投げつけ,からませて捕える道具) 
bold	 『大胆な,恐れを知らない』(fearless) / ずぶとい,ずうずうしい / 太くて目立つ;(文字が)肉太の / けわしい
bole	 木の幹 
bolt	 『ボルト』(木・鉄板を締め合わせる締めくぎ) / (戸締まりの)『かんぬき』,差し錠 / 石弓(crossbow)用の短く太い矢 / 『いなずま』,電光 / 《単数形で》(突然の)脱走,逃亡 / (布・紙の)一巻き《+『of』+『名』》 / 《米》脱党 / 〈戸・窓など〉‘に'かんぬきを掛ける;…'を'かんぬきを掛けて閉じ込める / 《米》…‘と'関係を絶つ / 〈食べ物〉'を'うのみにする,大急ぎで食べる / 急に飛び出す,急に駆け出す / まっすぐに
bond	 〈C〉『縛る物』 / 《通例複数形で》『束縛』,拘束,かせ / 《しばしば複数形で》(血縁,義理などの)『きずな』,縁 / 〈C〉契約 / 〈C〉『証書』,証文;『債券』,公債 / 〈U〉(石・れんがなどの)つなぎ方,組積み / 〈U〉保税倉庫入り / 〈U〉接着,接合;接着剤,接合剤 / 〈品物〉'を'担保とする / …‘の'保証人となる / (債券などを発行して)…‘の'支払いを保証する / …'を'つなぐ,結ぶ(bind together) / つながる 
bone	 〈C〉骨 / 〈U〉骨を作っている物質,骨質 / 《複数形で》骨格;死骸(がい) / 〈魚など〉‘の'骨を取る
bong	 (つり鐘などの)ゴーン[という音] / 〈つり鐘などが〉ゴーンを鳴る
bony	 骨の,骨のような / 骨の多い
bore	 bear（実をつける）の過去形 
born	 bear〈他〉1の過去分詞(受動態にのみ用いる) / 《名詞の前にのみ用いて》『生まれながらの』,先天的な(innate) / 『生まれた』;生じた 
bort	 (工業用の低質の)ダイヤモンドくず 
bosh	 《おもに英俗》ばかげたこと,たわごと / ばかな,くだらない
both	 『両方の』,双方の / 『両方』,両者 / 《『both』…『and』…の形で》『両方とも』,…のいずれも 
bout	 一試合,一勝負 / (…している)一時的な期間;(…の)発作(fit)《+『of』+『名』》
bowl	 『どんぶり,はち;わん』,茶わん,ボール / どんぶり(はち)1杯の量 / (…の)丸くくぼんだ部分《+『of』+『名』》 / 《米》(はち形の)円形競技場(stadium)
boxy	 箱に似た,箱のような 
brad	 (細くて頭の小さい)鉄線くぎ,折れくぎ 
brae	 《スコットランド》丘の側面,山腹 
brag	 (…を)自慢する《+『of』(『about』)+『名』(do『ing』)》 / 《『brag』+『that』節》…'を'自慢する / 〈C〉自慢の種 / 〈C〉ほら吹き
bran	 ふすま,ぬか 
brat	 《軽べつして》小僧,がき 
bray	 (ロバなどの)耳ざわりでしわがれた鳴き声 / (らっぱなどの)鳴り響く音 / 〈ロバなどが〉鳴く / 〈らっぱなどが〉鳴り響く
bred	 breedの過去・過去分詞 
brew	 醸造する / 《進行形で用いて》〈物事が〉熟してくる,起ころうとする / 〈ビールなど〉‘を'醸造する;〈混合酒〉‘を'造る;〈茶などの飲み物〉‘を'入れる;混合する / 〈悪事など〉‘を'たくらむ,計画する / 醸造酒,(特に)ビール;混合液 
brig	 ブリッグ(2本マストの帆船) / 《米おもに海軍俗》(特に艦内の)営倉
brim	 (茶わん・コップなどの)『縁』,へり(rim) / (帽子の)『つば』 / (…で)縁まで満たされる,あふれそうになる《[+『over』]『with』+『名』》 
brio	 活気,元気 
brow	 《複数形》『まゆ』,『まゆ毛』 / 『額』(forehead) / がけ(山)の端,斜面の上端 
brut	 (ぶどう酒が)甘味のない,辛口の 
buck	 (カモシカ・ウサギなどの)雄 
bugs	 競気の,気が競った 
buhl	 ブール細工家具(表面に金属・貝・べっ甲などをはめ込んだテーブル・食器だななど) 
bulk	 『かさばっていること』 / 《the bulk》(…の)大部分,大半《+『of』+『名』》 / ばら荷;(船の)積み荷 / かさばる,大きく見える
bump	 衝突;ごつんと当たること / ゴツン,ドスン[という音] / 打ちこぶ / ばたんと,どしんと / …‘に'突き当たる,ぶち当たる;(…に)…'を'突き当てる《+『名』+『on(『against』)+『名』》 / (…に)突き当たる《+『into』(『against』)+『名』》 / 《副詞[句]を伴って》〈車が〉ガタガタ揺れて通る 
bung	 (たるの)せん / =bunghole
bunk	 (また『bunk bed』)(船・列車などの)二段式寝台 / 《話》寝場所 / 寝台(寝だな)に寝る《+『down』》 
bunt	 (野球で)〈ボール〉'を'バントする / 〈ヤギ・小牛が〉…'を'角(頭)で突く / バントする / 角(頭)で突く / バント[をすること] / 角(頭)で突くこと
buoy	 浮標,ブイ(時に灯・鐘などがついている) / =life buoy / …'を'浮かせておく / …‘に'ブイをつける
burg	 《話》静かな小都市(町) 
burl	 (木の幹にできる)こぶ 
burn	 〈火・家などが〉『燃える』,『焼ける』 / (火や熱によって)『焦げる』,日焼けする / 『光』(『熱』)『を出す』 / (…で)熱さを感じる,ほてる《+『with』+『名』》 / (愛憎などで)燃える,かっかとなる《+『with』+『名』》 / …'を'『燃やす』,『焼く』 / …'を'焦がす;…'を'日焼けさせる / …'を'熱く感じさせる,'を'ほてらせる / …'を'燃料にする / 『やけど』;焼け焦げ / 『日焼け』 / ロケットの噴射・（CDなどに）焼く、（音楽｛おんがく｝やデータなどを）（CDなどに）焼く
burp	 げっぷ / げっぷが出る / …‘に'げっぷをさせる 
bury	 〈死体〉'を'『埋葬する』,土葬する,水葬する / (見えないように)…'を'『おおい隠す』 / …'を'深く突っ込む / (…に)〈人〉'を'没頭させる《+『名』〈人〉+『in』+『名』》
bush	 〈C〉『低木』(たけが低く根元から多数の小枝が発生している木) / 〈U〉《the bush》未開墾地,森林地 / 茂る,密生する;〈毛髪などが〉やぶのようになる 
busk	 大道芸をする 
bust	 〈C〉半身像,胸像 / 〈U〉《遠回しに》(婦人の)胸部
busy	 『忙しい』,多忙な / (場所が)『にぎやかな』 / 《米》(電話が)使用中の(《英》engaged) / 〈自分〉'を'忙しくさせる
byre	 牛小屋,牛舎 
byte	 バイト(コンピューターの情報伝達の単位で,8ビット(bit)からなる) 
cadi	 (イスラム教国の)裁判官 
cafe	 〈C〉『喫茶店』(coffeehouse),小レストラン);《英》(酒類を出さない)『軽食堂』 / 〈C〉バー,キャバレー,ナイトクラブ
cage	 『鳥かご』;(動物の)『おり』 / 鳥かご(おり)のような物;エレベーターの箱 / 野球の打撃練習用の移動バックネット / 獄舎 / …'を'かご(おり)に入れる 
cake	 〈U〉〈C〉『ケーハ』,洋菓子 / 〈C〉平たい焼きパン(パンケーキなど) / 〈C〉一定の形の塊にした食物 / 〈C〉(…の)ケーキ状の塊《+『of』+『名』》 / 固まる,塊になる / (…で)…'を'固める《+『名』+『with』+『名』》,(…に)…'を'なすりつける《+『名』+『on』+『名』》
calf	 {C}『子牛』 / 〈C〉(象・鯨・アザラシ・鹿などの)幼獣 / 〈U〉=calfskin 
calk	 =caulk 
calm	 (海・湖などが)『穏やかな』,静かな;(天候などが)穏やかな / (心・態度などが)『平静な』,落ち着いた(composed) / ''を'『なだめる』,静かにさせる / 〈U〉〈C〉『静けさ』,平穏;無風,凪(なぎ) / 〈U〉平静,落ち着き,沈着 
came	 comeの過去形 
camp	 〈C〉(軍隊・登山隊・探検隊などの)『野営地』 / 〈C〉〈U〉野営のテント,仮設小屋 / 〈U〉野営,キャンプ[生活];軍隊生活 / 〈C〉夏季キャンプ場,サマーキャンプ / 《集合的に》野営する人たち,キャンプする人たち / 〈C〉(主義・信条などを同じくする)同志たち,同じ陣営;同じ立場 / 『野営する』,キャンプ生活を送る《+『out』》 
cane	 〈C〉(トウ・タケ・サトウキビなどの)『茎』 / 〈U〉(用材としての)『トウ』(いす・かごなどを作る) / 〈C〉ステッキ,トウヅエ / 〈C〉むち / 〈C〉サトウキビ / 〈人〉'を'むち打って罰する / 〈家具〉'を'トウで作る(修理する) 
cant	 偽善的な言葉づかい,うわべだけの言葉,から念仏 / (特殊な階級・職業仲間などの)仲間言葉,隠語
cape	 ケープ(婦人服の短いそでなし外とう) 
card	 『カード』(長方形の厚紙);招待状,名刺,入場券 / =post card / (カードゲームの)礼(playing card) / 《複数形で》《単数扱い》カードゲーム / 《話》おもしろい人;(…の特徴をもつ)人物,やつ / 《米話》(スポーツ試合などの)好い組み合わせ;好番組
care	 〈U〉『心配』,気がかり,悩み / 〈C〉《しばしば複数形で》心配事,苦労の種 / 〈U〉『細心の注意』,十二分の用心 / 〈U〉(…の)『世話』,監督,保護《+『for(of)+名』》 / 〈C〉関心事,気を配るべきこと / 『気にする』,心配する,関心がある / …『したいと思う』,欲する,好む 
carp	 コイ 
cart	 (1頭立ての)『二輪車』,荷馬車,荷車 / 手押し車 / …'を'積んで運ぶ / (苦労して)〈物〉'を'かかえて運ぶ / 《話》…'を'引きずっていく《+『名』+『off』,+『off』+『名』》 
case	 〈C〉(…の)『実例』,事例《+『of』+『名』》 / 《the case》『実情』,真相 / 〈C〉〈U〉『場合』,情況,事情,立場 / 〈C〉(…の)(決定すべき)問題,重大事《+『of』+『名』》 / 〈C〉『訴訟』[『事件』],裁判 / 〈C〉(正当な)論拠,弁護;(被告または原告の)主張,申し立て / 〈C〉病状,容態;(症状から見た)患者 / 〈C〉〈U〉格(名詞・代名詞の語形変化)
cash	 『現金』,正金,銀行券,硬貨 / 〈小切手・為替など〉'を'『現金に換える』,現金化する
cask	 たる,おけ / たる1杯(の…)《+『of』+『名』》
